Sr. No.,Course  No.,Course Title,"Credits
L-T-P-C",Instructor,2nd Sem,4th Sem CE,4th Sem CS,4th  Sem EE,4th Sem ME,6th Sem CE,6th Sem CS,6th Sem EE,6th Sem ME,8th Sem CE,8th Sem CS,8th Sem EE,8th  Sem ME,MV 2nd  sem,MV 4th  sem,MS 2nd sem,MS 4th sem,MP 2nd sem,MP 4th sem,Mtech (ME) 2nd sem,Mtech (ME) 4th  sem,Mtech (EE) 2nd sem,Mtech (EE) 4th  sem,Mtech (SE) 2nd sem,Mtech (SE) 4th sem,MT(Bio)2nd,MT(Bio) 4th,MA (2nd Sem),MA (4th Sem),M.Sc (Chem) 2nd sem,M.Sc (Chem) 4th sem,M.Sc (Maths) 2nd sem,M.Sc (Maths) 4th sem,M.Sc (Physics) 2nd sem,M.Sc (Physics) 4th sem,I-Ph.D. 2nd sem,I-Ph.D. 4th sem,I-Ph.D. 6th  sem,MS/PhD,Competence,PG Basket,Approval
1,IC 111,Linear Algebra,2.5-0.5-0-3,NK,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
2,IC 141,Product Realization Technology,2-0-0-2,SZ,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
3,IC 141P,Product Realization Technology lab,0-0-3-2,"Powar, SZ, Talha, Atul, SP,VB,SSR,RV, Swati, BSR",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
4,IC 142,Engineering Thermodynamics,3-0-0-3,Parmod,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 22nd senate
5,IC 161,Applied Electronics,3-0-0-3,SS,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
6,IC 161P,Applied Electronics Lab,0-0-3-2,"Ankush, SS, SB, KG,Srinivasu, SRC",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
7,IC 136,Understanding Biotechnology and its Applications,3-0-0-3,PM,,C,C,C,C,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
8,IC 1XX,Environmental Sciences,3-0-0-3,Ajit,,C,C,C,C,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New course
9,IC 130,Applied Chemistry for Engineers,2-0-2-3,PFS,,C,C,C,C,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
10,IC 201P,Design Practicum,0-0-6-4,"Subhamoy, AB, RS, SCJ,Parmod",,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
11,IC 252,Data Science II,3-0-2-4,"                         Lectures: ST                  Lab: ST, Dileep, PR, Arti, VD, VJ, Sarita, GB",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 20th senate
12,IC 221,Foundations of Electrodynamics,3-0-0-3,GSR,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
13,IC 222P,Physics Practicum,0-0-3-2,Ajay,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
14,IC 241,Material Science for Engineers,3-0-0-3,VB,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
15,IC 242,Continuum Mechanics,2.5-0.5-0-3,GB,,C,C,C,C,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
16,IC 260,Signals and Systems,3-0-0-3,PR,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 2nd adhoc meeting
17,CS 201,Computer organization,3-0-0-3,AKS,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 9th senate
18,CS 201P,Computer organization Laboratory,0-0-2-1,AKS,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 9th senate
19,CS 302,Paradigms of Programming,3-0-2-4,Manas,,,,,,,C,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 9th senate
20,CS 304,Formal Language and Automata Theory,3-0-0-3,Astrid,,,C,,,,E,,,,E,,,E,E,,,E,E,,,,,,,,,,,,,,,,,,,,,,,Approved in 10th senate
21,CS 307,Systems Practicum,0-0-3-2,Arti,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 9th senate
22,CS 309,Information and Database Systems,3-0-2-4,SK,,,C,E,,,,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 9th senate
23,EE 201,Electromechanics,2.5-0.5-0-3,NRT,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 6th senate
24,EE 201P,Electromechanics Lab,0-0-2-1,NRT,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 6th senate
25,EE 2XX,Analog Circuit Design,2-0-2-3,HS,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Approved
26,EE 301,Control Systems,2.5-0.5-0-3,TJ,,,,,,E,E,C,E,E,C,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 12th senate
27,EE 301P,Control Systems Laboratory,0-0-2-1,TJ,,,,,,E,E,C,E,E,C,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 12th senate
28,EE 303,Power Systems,3-1-0-4,Pratim,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved in 6th senate
