Sr. No.,Course  No.,Course Title,"Credits
L-T-P-C",Instructor,Msc/ Mtech/ PhD/ IphD,1st Sem,3rd Sem CS,3rd Sem EE,3rd Sem ME,3rd Sem CE,5th Sem CS,5th Sem EE,5th Sem ME,5th Sem CE,7th Sem CE,7th Sem CS,7th Sem EE,7th Sem ME,MV 1st sem,MV 3rd sem,MS 1st sem,MS 3rd sem,MP 1st sem,MP 3rd sem,MA 1st sem,MA 3rd sem,Mtech (EEM) 1st sem,Mtech (EEM) 3rd sem,Mtech  (MES) 1st sem,Mtech (MES) 3rd sem,Mtech (STE)  1st sem,Mtech (STE)  3rd sem,MT(Bio)1st,MT(Bio) 3rd,M.Sc (chem)  1st sem,M.Sc (Chem) 3rd sem,M.Sc (math)  1st sem,M.Sc (math)  3rd sem,M.Sc (Physics)  1st sem,M.Sc (Physics)  3rd sem,I-Ph.D. 1st sem,I-Ph.D. 3rd sem,I-Ph.D. 5th  sem,Competence
1,IC 101P,Reverse Engineering,0-0-3-2,"SS, GSR,SCJ,AJP, SP, Swati",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IC 110,Engineering Mathematics,2.5-0.5-0-3,Qaiser,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IC 140,Graphics for Design,2-0-3-4,"VSC Lab - RV, SSR, RG, HP, Parmod, SZ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IC 152,Computing and Data Science,3-0-2-4,"TAG, AB, KS, sarita, Arti, Amit",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IC 152P,Data Science I Lab,0-0-2-1,"AB, KS, sarita, Arti, Manas",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IC 160,Electrical System Around Us,3-0-0-3,Ravinder Arora LC:BSR,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IC 160P,Electrical System Around Us Lab,0-0-3-2,"SKS, TJ, Amit, MD",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HS 106,English I,3-0-0-3,Neha,,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language Comp.
9,IC121,Mechanics of Particles and Waves,2.5-0.5-0-3,PP,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IC 136,Understanding Biotechnology and Its Applications,3-0-0-3,AJ,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IC 130,Applied Chemistry for Engineers,3-0-0-3,PFS,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IC 130P,Chemistry Practicum,0-0-3-2,JKR,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IC 272,Data Science III,2-0-2-3,"Dileep, AKS,VD, MT, RP",,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IC 240,Mechanics of Rigid Bodies,1.5-1.5-0-3,RK,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IC 241,Materials Science for Engineers,3-0-0-3,SSR,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,IC 260,Signals and Systems,3-0-0-3,Sharma,,,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CS 202,Data Structure and Algorithms,3-0-2-4,AN,,,C,E,E,E,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CS 207,Applied Database Practicum,0-0-3-2,VD,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CS 208,Mathematical Foundations of Computer Science,3-1-0-4,Samar,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,HS 352,German II,3-0-0-3,GS,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language Comp.
21,HS 362,German III,3-0-0-3,GS,,,,,,,,,,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CS 201,Computer Organization,3-0-0-3,Srinivas,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CS 201P,Computer Organization Laboratory,0-0-2-1,Srinivas,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CS 310,Introduction to Communicating Distributed Processes,3-0-2-4,SK,,,,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CS 308,Large Applications Practicum,0-0-3-2,"BDC, PR",,,,,,,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CS 502P,Basic Data Science Practicum,1-0-3-3,"Rik, TAG",PhD,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,,,E,E,E,E,E,E,,,,
27,EE 203,Network Theory,3-0-0-3,HS,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EE 210,Digital Systems Design,3-0-0-3,Rahul,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,EE 210P,Digital Systems Design Practicum,0-0-2-1,Rahul,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,EE 311,Device Electronics for Integrated Circuits,3-0-0-3,Ankush,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EE 312P,Microelectronics Circuits Design Practicum,0-0-3-2,KG,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EE 305,Digital Signal Processing,3-1-0-4,RMR,,,,,,,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EE 512,CMOS analog IC design,3-0-2-4,HS,MS/PhD,,,,,,,E,,,,,E,,C,,,,,,,,,,,,,,,,,,,,,,,,,
34,EE 514,Robust Control Systems,3-0-0-3,TJ,MS/PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EE 615,Nano-electronics and nano-microfabrication,3-0-0-3,SB,MS/PhD,,,,,,,E,,,,,E,,,E,,,,,,,,,,,,,,,,,,,,,,,,
36,ME 509,Nano-manufacturing,3-0-0-3,JKR,MS/PhD,,,,,,,E,E,,,,E,E,,E,,,,,,,E,,E,,,,,,,,,,,,,,,
37,EE 516,Biomedical Systems,2.5-0.5-2-4,SRC,MS/PhD,,,,,,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,E,E,,,,,,,,,,
38,EE 621,Radiating Systems,3-1-0-4,GSR,MS/PhD,,,,,,,E,,,,,E,,E,E,E,,,,,,,,,,,,,,,,,,,,,,,
39,CS 304,Formal Languages and Automata Theory,3-0-0-3,Astrid,,,,,,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CS 669,Pattern Recognition,3-1-0-4,AB,MS/PhD,,,,,,E,E,E,E,E,E,E,E,,,,E,,,,,,,,,,,,,,,,,,,,,,
41,EE 534,Probability and Random Processes,3-0-0-3,ST,MS/PhD,,,,,,E,E,,,,E,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,
42,EE 522,Matrix Theory,3-0-0-3,sharma,MS/PhD,,,,,,,E,,,,,E,,,,C,,,,,,,,,,,,,,,,,,,,,,,
43,DP 520P,Dissertation -I,0-0-34-17,hitesh,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,
44,EE 524,Digital MOS LSI Circuits,3-0-0-3,rahul,MS/PhD,,,,,,,E,,,,,E,,C,C,,,,,,,,,,,,,,,,,,,,,,,,
45,EE 509,Linear Dynamical Systems,3-0-0-3,Singha,MS/PhD,,,,,,,,,,,,E,,,,,,C,,,,,,,,,,,,,,,,,,,,,
